zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,low_zenith,radiation_temp_interaction,humidity_temp_ratio,relative_humidity_2_m_above_gnd,total_cloud_cover_sfc,total_cloud_all_layers,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,wind_speed_80_m_above_gnd,mean_sea_level_pressure_MSL,high_cloud_cover_high_cld_lay,wind_gust_10_m_above_gnd,total_precip,avg_wind_speed,total_precipitation_sfc,wind_speed_900_mb,generated_power_kw
75.306158,47.544217,452.12,0,5683.1484,0.11899762004759906,34,35.0,37,0,35,12.57,25.42,1022.4,2,31.68,0.0,22.766666666666666,0.0,21.66,233.24195
83.719925,61.055217,373.8,0,4519.242,0.12971532744355632,37,95.0,121,0,95,12.09,25.7,1022.3,26,31.32,0.0,22.853333333333335,0.0,21.32,40.214319
82.802362,59.774919,0.0,0,0.0,0.3503828926455715,97,100.0,100,100,0,3.69,16.8,1027.4,0,15.84,0.1,13.156666666666666,0.1,12.23,480.82352
74.420858,46.153679,2.67,0,8.0901,0.35484104569483677,98,100.0,100,100,0,3.03,12.39,1027.7,0,21.6,0.1,9.056666666666667,0.1,6.99,1400.3916
67.767205,33.14606,108.58,0,534.2135999999999,0.2948897759556946,82,100.0,100,100,0,4.92,6.29,1027.1,0,19.44,0.0,5.640000000000001,0.0,4.83,2190.3046
63.481713,22.143084,258.1,0,1530.5330000000001,0.2723233481439014,76,40.0,40,40,0,5.93,3.26,1027.6,0,18.0,0.0,3.16,0.0,2.9,2537.5603
62.079493,17.466135,381.81,0,2779.5768000000003,0.24605070784152913,69,47.0,47,47,0,7.28,2.81,1026.3,0,16.2,0.0,2.6533333333333333,0.0,2.55,2689.5167
63.755529,23.002835,457.46,0,4322.996999999999,0.23000707714083513,65,4.0,4,4,0,9.45,3.67,1025.4,0,14.04,0.0,3.7566666666666664,0.0,3.62,2590.2565
68.278362,34.314784,412.07,0,4190.7519,0.21883382747423408,62,29.0,29,29,0,10.17,3.4,1024.3,0,13.68,0.0,2.92,0.0,2.81,2268.1099
75.101325,47.393687,355.11,0,3863.5968000000003,0.20420378129070874,58,10.0,10,10,0,10.88,6.13,1023.6,0,15.84,0.0,5.6499999999999995,0.0,5.41,1249.0877
83.537027,60.952041,284.8,0,3141.344,0.20761489196987828,59,100.0,100,100,0,11.03,6.64,1022.8,0,15.84,0.0,6.123333333333334,0.0,6.11,143.9723
120.23022,106.69672,225.17,0,2449.8496,0.21124529099038836,60,83.0,83,83,0,10.88,8.05,1022.6,0,16.2,0.0,7.586666666666667,0.0,7.64,16.101307
82.723909,59.83574,0.0,0,0.0,0.33949039935752356,93,1.0,1,1,0,0.79,35.6,1020.6,0,34.92,0.0,26.24666666666667,0.0,22.96,491.01385
74.317509,46.187931,3.56,0,9.291599999999999,0.32999709892660284,91,8.0,9,1,8,2.61,37.54,1019.1,0,33.84,0.0,28.98,0.0,26.18,589.7025
67.636531,33.139627,121.04,0,706.8736,0.2759955553962508,77,36.0,37,1,36,5.84,41.38,1018.4,0,40.68,0.0,34.81333333333333,0.0,32.57,1522.622
63.323701,22.061843,268.78,0,1902.9624,0.25336330871070195,71,0.0,0,0,0,7.08,39.03,1017.3,0,42.48,0.0,33.99666666666667,0.0,32.04,690.96898
61.898913,17.288684,386.26,0,3287.0726,0.22722431300149118,64,13.0,35,0,13,8.51,36.75,1015.3,22,42.84,0.0,32.79333333333333,0.0,31.06,291.16097
63.56121,22.816323,389.82,0,3492.7872,0.19495941299493108,55,100.0,200,0,100,8.96,33.35,1015.2,100,42.12,0.0,30.256666666666664,0.0,29.02,177.40503
68.07974,34.161975,395.16,0,3623.6172,0.18773023519410598,53,100.0,200,0,100,9.17,34.25,1013.9,100,43.92,0.0,31.073333333333334,0.0,29.7,156.05012
74.918788,47.29302,186.9,0,1308.3,0.24629662680706765,69,100.0,200,0,100,7.0,37.75,1013.6,100,45.0,0.0,32.65,0.0,30.81,123.7152
83.273945,60.736301,107.69,0,754.9069,0.2641347801256425,74,100.0,200,0,100,7.01,36.89,1013.3,100,45.36,0.0,31.833333333333332,0.0,29.95,17.422826
82.715518,60.008276,0.0,0,-0.0,0.34687626849699255,94,56.0,56,56,0,-2.16,41.56,1016.2,0,35.28,0.0,36.13,0.0,35.57,162.85673
74.207441,46.218879,3.56,0,-12.139600000000002,0.3596055460814118,97,3.0,3,3,0,-3.41,33.65,1016.9,0,28.44,0.0,28.336666666666662,0.0,28.02,1416.8051
67.498954,33.129206,118.37,0,-67.4709,0.275148580233326,75,0.0,0,0,0,-0.57,26.76,1017.2,0,27.0,0.0,25.80666666666667,0.0,25.73,1549.9781
63.12744,21.879876,271.45,0,418.033,0.22570898103316467,62,0.0,0,0,0,1.54,23.68,1016.2,0,25.2,0.0,23.286666666666665,0.0,23.27,1717.2196
61.711725,17.105247,392.49,0,1087.1973,0.20658161786024937,57,12.0,12,0,12,2.77,27.04,1015.7,0,32.4,0.0,26.433333333333334,0.0,26.3,1463.1401
63.360918,22.626764,299.93,0,557.8698,0.25089996727391733,69,10.0,10,10,0,1.86,43.33,1016.5,0,45.36,0.0,42.23333333333333,0.0,41.04,774.13052
67.875998,34.00882,469.92,0,1278.1824000000001,0.22836843440751078,63,10.0,10,10,0,2.72,44.83,1016.0,0,46.08,0.0,43.629999999999995,0.0,42.53,202.27496
74.718691,47.168844,379.14,0,993.3468,0.2465822968415709,68,2.0,2,2,0,2.62,43.66,1016.3,0,45.0,0.0,42.28333333333334,0.0,40.95,332.33587
83.160134,60.750413,386.26,0,965.65,0.264828586976238,73,100.0,146,100,46,2.5,42.55,1017.1,0,43.92,0.0,41.17666666666667,0.0,39.84,177.91597
82.557387,59.962798,0.0,0,-0.0,0.30619865571321886,82,0.0,0,0,0,-5.35,26.49,1028.9,0,18.72,0.0,19.816666666666666,0.0,17.02,553.33489
74.090688,46.24653,3.56,0,-17.5152,0.31316407560675547,84,0.0,0,0,0,-4.92,25.68,1028.8,0,19.08,0.0,19.223333333333333,0.0,17.16,1457.4705
67.354523,33.114848,119.26,0,-200.3568,0.2762736213946293,75,0.0,0,0,0,-1.68,19.8,1028.2,0,17.64,0.0,16.393333333333334,0.0,15.38,2219.2605
62.98702,21.884109,272.34,0,354.042,0.22226270723264713,61,0.3,1,0,0,1.3,18.51,1026.6,1,21.24,0.0,18.573333333333334,0.0,19.01,2595.2027
61.518011,16.915904,398.72,0,933.0048,0.21416385349740466,59,0.3,1,0,0,2.34,20.95,1025.8,1,22.32,0.0,20.62,0.0,20.14,2724.477
63.15475,22.434327,478.82,0,2154.69,0.1116513596254277,31,0.0,0,0,0,4.5,7.9,1024.7,0,11.88,0.0,7.596666666666667,0.0,7.1,2668.6514
67.667245,33.855504,504.63,0,2629.1223,0.09699669492743211,27,0.0,0,0,0,5.21,7.42,1023.4,0,12.6,0.0,7.113333333333333,0.0,6.29,2415.1739
74.514472,47.045819,477.93,0,2676.408,0.09327354260089686,26,61.0,69,0,61,5.6,7.57,1022.8,8,13.32,0.0,7.489999999999999,0.0,6.85,1160.2291
82.966378,60.652214,394.27,0,2200.0266,0.09686793671294802,27,100.0,100,0,100,5.58,9.11,1022.2,0,14.4,0.0,8.839999999999998,0.0,8.4,127.90982
